Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	epoch_times[5]	epoch_times[6]	epoch_times[7]	epoch_times[8]	extirpation_rate	log10_rate_bg	p_allopatry	p_sympatry	rate_bg
0	-62.1831	-100.035	37.8521	0.851649	0.148351	0.01	0.201987	0.118242	0.0571636	0.0473405	0.0411058	0.0184417	0.00344124	0	0.6454321	-2	0.1483508	0.8516492	0.01
10	10.1907	-21.2803	31.471	0.501768	0.498232	0.004364285	0.204957	0.119088	0.0561541	0.0467017	0.0411342	0.0185352	0.00337475	0	7.026539	1.872769	0.4982321	0.5017679	74.60514
20	10.9368	-21.7886	32.7253	0.15478	0.84522	0.01091764	0.195989	0.119805	0.0578608	0.0484216	0.0413347	0.0185322	0.00348331	0	5.772164	1.924437	0.8452202	0.1547798	84.03057
30	10.358	-25.815	36.1729	0.292825	0.707175	0.007142711	0.19729	0.116602	0.0572112	0.0469303	0.0418419	0.0187642	0.00349	0	2.324587	1.703592	0.7071752	0.2928248	50.53502
40	10.7819	-23.0122	33.7941	0.873544	0.126456	0.02639954	0.196106	0.117135	0.0575442	0.0476985	0.0420032	0.0187876	0.00344195	0	4.703398	1.714187	0.126456	0.873544	51.78295
50	10.776	-24.3873	35.1634	0.853453	0.146547	0.2861499	0.198451	0.117444	0.0565277	0.0483977	0.0421985	0.0187023	0.00348909	0	3.334157	1.611297	0.1465473	0.8534527	40.85987
60	11.6694	-24.3938	36.0632	0.643456	0.356544	3.055848	0.196199	0.120027	0.0565927	0.0485568	0.0415098	0.0185807	0.00340409	0	2.434323	1.663111	0.3565443	0.6434557	46.03743
70	12.2293	-20.9326	33.1619	0.769368	0.230632	2.039557	0.195978	0.118083	0.0566316	0.0489325	0.0418516	0.0185477	0.00335444	0	5.335646	1.834825	0.2306315	0.7693685	68.36358
80	11.7501	-25.4996	37.2497	0.075505	0.924495	3.681855	0.201964	0.119163	0.0560443	0.0480959	0.0413667	0.0185695	0.00335943	0	1.24782	1.871719	0.924495	0.07550505	74.42501
90	12.0258	-22.8343	34.8601	0.806227	0.193773	3.998046	0.202992	0.118901	0.0560346	0.0488923	0.042089	0.0185868	0.00341152	0	3.637359	1.769825	0.1937733	0.8062267	58.86063
100	10.7902	-21.0362	31.8265	0.0930816	0.906918	3.78978	0.205747	0.122159	0.0560163	0.0486367	0.0416708	0.0185589	0.00343487	0	6.671024	1.752195	0.9069184	0.09308158	56.51904
110	11.0684	-19.8561	30.9244	0.574105	0.425895	2.825623	0.202281	0.11851	0.0571829	0.0486136	0.0408439	0.0184781	0.00341726	0	7.573062	1.884801	0.4258954	0.5741046	76.70095
120	12.2275	-20.6429	32.8705	0.652226	0.347774	2.185468	0.197783	0.119423	0.0575782	0.0473595	0.0405966	0.0186729	0.00345371	0	5.627056	1.85821	0.3477741	0.6522259	72.14561
130	11.0462	-21.8019	32.8481	0.943577	0.0564231	3.816348	0.197191	0.121761	0.0577509	0.0475205	0.0421543	0.0184029	0.00337802	0	5.649429	1.731627	0.05642312	0.9435769	53.90474
140	12.35	-20.9875	33.3375	0.983717	0.0162829	4.13408	0.196428	0.120962	0.0584431	0.0469537	0.0418909	0.0179822	0.00336408	0	5.160027	1.935194	0.01628288	0.9837171	86.13794
150	13.0136	-21.4814	34.495	0.249829	0.750171	2.037696	0.199312	0.122551	0.0576637	0.0473722	0.040934	0.01801	0.00342381	0	4.002482	1.886776	0.7501714	0.2498286	77.05066
160	11.456	-22.9051	34.3611	0.0270852	0.972915	3.299608	0.200401	0.120179	0.0560605	0.0473349	0.0419159	0.018708	0.00343134	0	4.136441	1.58223	0.9729148	0.02708522	38.21464
170	12.9207	-23.8076	36.7284	0.445448	0.554552	3.820988	0.202306	0.121297	0.0564677	0.0474384	0.0417671	0.0187124	0.00348605	0	1.769151	1.97211	0.5545522	0.4454478	93.77985
180	11.9025	-21.4484	33.3509	0.896797	0.103203	2.687571	0.201025	0.122574	0.0574182	0.0488968	0.0415592	0.0185362	0.00348527	0	5.146635	1.732502	0.1032031	0.8967969	54.0134
190	13.4072	-21.6595	35.0666	0.747222	0.252778	2.883268	0.197147	0.119225	0.0584505	0.047562	0.0405947	0.0182809	0.00341264	0	3.430878	1.945706	0.2527776	0.7472224	88.2483
200	13.0298	-22.1708	35.2006	0.258217	0.741783	2.602469	0.198434	0.11804	0.0586093	0.0470675	0.0412965	0.01812	0.0034209	0	3.296877	1.824779	0.7417834	0.2582166	66.80039
210	11.6807	-24.2176	35.8982	0.267939	0.732061	4.369778	0.201829	0.117649	0.0580457	0.0468478	0.0406537	0.0182228	0.00339056	0	2.599291	1.746612	0.7320611	0.2679389	55.79721
220	12.337	-20.9686	33.3056	0.190278	0.809722	2.032471	0.19841	0.121015	0.0571586	0.0481046	0.0403479	0.0186678	0.00337366	0	5.191928	1.816405	0.809722	0.190278	65.52476
230	11.5417	-21.248	32.7898	0.242515	0.757485	2.140575	0.200094	0.119924	0.056018	0.0468339	0.0408683	0.0185124	0.00335213	0	5.707732	1.682945	0.7574853	0.2425147	48.18866
240	11.8645	-20.0078	31.8722	0.0945307	0.905469	1.850631	0.196113	0.120235	0.0559294	0.0471484	0.0401801	0.0182562	0.00340138	0	6.625278	1.955367	0.9054693	0.0945307	90.23329
