Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15
0	1	8	1	7	1	6	1	5	4	4	3	3	2	2	1	1	2	11	2	13	1	9	1	1	1	1	1	1	1	1
10	3	8	3	7	14	6	2	5	5	4	4	3	4	2	2	1	2	4	2	16	2	2	1	2	3	3	1	14	1	1
20	5	8	1	7	4	6	3	5	5	4	4	3	4	2	2	1	5	4	3	5	2	3	1	2	4	15	1	4	1	1
30	4	8	4	7	10	6	2	5	1	4	1	3	1	2	1	1	1	1	2	1	1	2	1	1	1	4	1	10	1	1
40	1	8	1	7	12	6	1	5	2	4	4	3	4	2	2	1	2	4	1	2	2	1	1	2	4	1	1	12	1	1
50	2	8	2	7	2	6	2	5	3	4	3	3	3	2	2	1	3	3	2	3	2	2	1	2	2	2	1	2	1	1
60	1	8	1	7	3	6	2	5	4	4	2	3	2	2	2	1	4	2	2	4	2	2	1	2	3	1	1	3	1	1
70	1	8	1	7	4	6	1	5	5	4	3	3	3	2	1	1	16	3	1	16	1	1	1	1	14	1	1	14	1	1
80	2	8	2	7	2	6	1	5	3	4	3	3	3	2	1	1	3	3	1	3	1	1	1	1	2	2	1	2	1	1
90	3	8	3	7	1	6	2	5	3	4	1	3	1	2	1	1	3	1	2	3	1	2	1	1	3	3	1	10	1	1
100	2	8	2	7	3	6	3	5	1	4	3	3	3	2	2	1	9	3	3	9	2	3	1	2	3	2	1	3	1	1
110	3	8	3	7	3	6	11	5	5	4	3	3	3	2	1	1	15	3	2	15	1	11	1	1	3	3	1	3	1	1
120	5	8	1	7	4	6	2	5	3	4	3	3	3	2	1	1	3	3	2	3	1	2	1	1	12	15	1	12	1	1
130	3	8	17	7	1	6	1	5	11	4	2	3	2	2	1	1	2	2	1	11	1	1	1	1	1	17	1	1	1	1
140	10	8	1	7	4	6	3	5	1	4	5	3	3	2	1	1	1	17	3	1	1	3	1	1	4	10	1	4	1	1
150	2	8	1	7	2	6	10	5	2	4	3	3	3	2	1	1	1	3	1	9	1	10	1	1	2	9	1	2	1	1
160	2	8	9	7	3	6	3	5	1	4	3	3	3	2	1	1	3	3	3	10	1	3	1	1	1	9	1	10	1	1
170	1	8	1	7	3	6	2	5	1	4	1	3	1	2	2	1	2	1	2	9	2	2	1	2	3	1	1	3	1	1
180	15	8	1	7	11	6	2	5	3	4	1	3	1	2	2	1	3	1	2	3	2	2	1	2	3	15	1	11	1	1
190	4	8	4	7	4	6	2	5	4	4	3	3	11	2	1	1	4	11	9	4	1	9	1	1	4	4	1	4	1	1
200	1	8	1	7	1	6	2	5	4	4	3	3	2	2	1	1	4	11	2	4	1	2	1	1	1	1	1	1	1	1
210	5	8	5	7	11	6	1	5	1	4	3	3	3	2	1	1	3	3	1	10	1	1	1	1	3	5	1	11	1	1
220	3	8	10	7	1	6	1	5	5	4	2	3	2	2	1	1	5	2	1	5	1	1	1	1	1	10	1	1	1	1
230	2	8	2	7	2	6	10	5	2	4	3	3	3	2	2	1	2	3	1	2	2	10	1	2	2	2	1	2	1	1
240	2	8	2	7	4	6	3	5	17	4	1	3	3	2	1	1	5	10	3	17	1	3	1	1	4	2	1	4	1	1
250	6	8	1	7	1	6	2	5	3	4	5	3	5	2	2	1	1	5	2	10	2	2	1	2	1	19	1	1	1	1
260	4	8	4	7	11	6	2	5	1	4	2	3	2	2	1	1	1	2	2	1	1	2	1	1	2	4	1	11	1	1
270	3	8	10	7	10	6	1	5	5	4	3	3	3	2	9	1	5	3	1	5	2	1	1	9	1	10	1	10	1	1
280	1	8	1	7	3	6	1	5	13	4	2	3	16	2	2	1	2	16	1	13	2	1	1	2	11	1	1	11	1	1
290	5	8	5	7	1	6	2	5	2	4	5	3	2	2	1	1	2	16	2	2	1	2	1	1	1	5	1	1	1	1
300	1	8	1	7	4	6	3	5	3	4	5	3	3	2	2	1	3	17	3	3	2	3	1	2	4	1	1	4	1	1
310	3	8	3	7	4	6	1	5	3	4	3	3	10	2	1	1	3	10	1	3	2	1	1	9	2	3	1	13	1	1
320	15	8	5	7	14	6	2	5	5	4	3	3	3	2	1	1	5	3	2	5	1	2	1	1	3	15	1	14	1	1
330	2	8	2	7	3	6	2	5	2	4	3	3	3	2	2	1	2	3	2	2	2	2	1	2	3	2	1	3	1	1
340	3	8	3	7	3	6	2	5	1	4	2	3	2	2	1	1	1	2	2	1	1	2	1	1	10	3	1	10	1	1
350	1	8	1	7	2	6	2	5	3	4	3	3	3	2	2	1	3	3	2	3	2	2	1	2	2	1	1	2	1	1
360	4	8	4	7	4	6	3	5	3	4	1	3	1	2	1	1	3	1	3	3	1	3	1	1	4	4	1	4	1	1
370	1	8	10	7	1	6	1	5	3	4	1	3	5	2	9	1	3	15	3	3	1	10	1	9	1	10	1	1	1	1
380	4	8	13	7	2	6	3	5	2	4	5	3	5	2	1	1	2	5	3	2	1	3	1	1	2	13	1	2	1	1
390	1	8	1	7	1	6	2	5	1	4	1	3	1	2	2	1	1	1	2	1	2	2	1	2	1	1	1	1	1	1
400	4	8	4	7	4	6	1	5	5	4	15	3	1	2	2	1	5	15	1	5	2	1	1	2	4	4	1	4	1	1
410	2	8	16	7	2	6	3	5	5	4	5	3	5	2	2	1	15	5	3	15	9	3	1	9	2	16	1	2	1	1
420	9	8	1	7	1	6	3	5	5	4	3	3	3	2	2	1	17	3	3	17	2	3	1	2	3	9	1	10	1	1
430	10	8	3	7	4	6	2	5	2	4	3	3	3	2	2	1	16	3	2	16	2	2	1	2	3	10	1	14	1	1
440	2	8	2	7	1	6	3	5	11	4	2	3	20	2	2	1	2	20	3	11	2	3	1	2	1	2	1	1	1	1
450	5	8	5	7	2	6	1	5	5	4	3	3	3	2	1	1	5	3	1	5	1	1	1	1	2	5	1	2	1	1
460	4	8	4	7	2	6	2	5	3	4	3	3	3	2	1	1	3	3	2	3	1	2	1	1	2	4	1	2	1	1
470	4	8	4	7	4	6	2	5	5	4	1	3	1	2	2	1	5	1	2	5	2	2	1	2	4	4	1	4	1	1
480	1	8	1	7	3	6	1	5	3	4	5	3	5	2	2	1	3	5	1	3	2	1	1	2	3	1	1	3	1	1
490	10	8	1	7	1	6	1	5	1	4	1	3	1	2	1	1	1	1	1	1	1	1	1	1	4	10	1	12	1	1
500	13	8	2	7	2	6	3	5	11	4	2	3	2	2	1	1	2	2	3	11	1	3	1	1	2	13	1	2	1	1
510	4	8	4	7	4	6	1	5	2	4	5	3	5	2	2	1	2	5	3	2	2	10	1	2	4	4	1	4	1	1
520	10	8	1	7	2	6	1	5	5	4	16	3	2	2	1	1	5	16	1	5	1	1	1	1	2	10	1	2	1	1
530	15	8	1	7	3	6	3	5	9	4	2	3	2	2	1	1	2	2	3	9	1	3	1	1	3	15	1	3	1	1
540	5	8	2	7	3	6	3	5	3	4	7	3	4	2	1	1	3	27	1	3	1	10	1	1	3	16	1	3	1	1
